league,year,over,ball,runs_off_bat,extras,wicket_type,expected_bowling_economy,expected_batting_strike_rate,expected_bowling_average,expected_batting_average,expected_bowling_strike_rate
IPL_T20,2008,1,696,610,93,19,6.06034482758621,87.6436781609195,37.0,32.1052631578947,36.6315789473684
IPL_T20,2008,2,696,824,99,26,7.95689655172414,118.390804597701,35.5,31.6923076923077,26.7692307692308
IPL_T20,2008,3,696,766,60,38,7.12068965517241,110.057471264368,21.7368421052632,20.1578947368421,18.3157894736842
IPL_T20,2008,4,696,855,57,31,7.86206896551724,122.844827586207,29.4193548387097,27.5806451612903,22.4516129032258
IPL_T20,2008,5,696,980,37,30,8.76724137931035,140.804597701149,33.9,32.6666666666667,23.2
IPL_T20,2008,6,693,916,61,33,8.45887445887446,132.178932178932,29.6060606060606,27.7575757575758,21.0
IPL_T20,2008,7,690,741,87,27,7.2,107.391304347826,30.6666666666667,27.4444444444444,25.5555555555556
IPL_T20,2008,8,689,788,64,21,7.41944847605225,114.368650217707,40.5714285714286,37.5238095238095,32.8095238095238
IPL_T20,2008,9,678,787,57,32,7.46902654867257,116.076696165192,26.375,24.59375,21.1875
IPL_T20,2008,10,678,810,46,20,7.57522123893805,119.469026548673,42.8,40.5,33.9
IPL_T20,2008,11,679,899,35,26,8.25331369661267,132.40058910162,35.9230769230769,34.5769230769231,26.1153846153846
IPL_T20,2008,12,672,893,64,29,8.54464285714286,132.886904761905,33.0,30.7931034482759,23.1724137931034
IPL_T20,2008,13,666,832,46,31,7.90990990990991,124.924924924925,28.3225806451613,26.8387096774194,21.4838709677419
IPL_T20,2008,14,659,905,51,38,8.7040971168437,137.329286798179,25.1578947368421,23.8157894736842,17.3421052631579
IPL_T20,2008,15,648,933,35,40,8.96296296296296,143.981481481482,24.2,23.325,16.2
IPL_T20,2008,16,621,860,43,35,8.72463768115942,138.486312399356,25.8,24.5714285714286,17.7428571428571
IPL_T20,2008,17,576,900,40,32,9.79166666666667,156.25,29.375,28.125,18.0
IPL_T20,2008,18,558,881,49,59,10.0,157.885304659498,15.7627118644068,14.9322033898305,9.45762711864407
IPL_T20,2008,19,521,864,49,61,10.5143953934741,165.834932821497,14.9672131147541,14.1639344262295,8.54098360655738
IPL_T20,2008,20,442,765,55,62,11.131221719457,173.076923076923,13.2258064516129,12.3387096774194,7.12903225806452
IPL_T20,2009,1,684,576,58,38,5.56140350877193,84.2105263157895,16.6842105263158,15.1578947368421,18.0
IPL_T20,2009,2,684,708,60,33,6.73684210526316,103.508771929825,23.2727272727273,21.4545454545455,20.7272727272727
IPL_T20,2009,3,684,756,65,26,7.20175438596491,110.526315789474,31.5769230769231,29.0769230769231,26.3076923076923
IPL_T20,2009,4,684,825,56,26,7.7280701754386,120.614035087719,33.8846153846154,31.7307692307692,26.3076923076923
IPL_T20,2009,5,683,877,50,31,8.14348462664715,128.404099560761,29.9032258064516,28.2903225806452,22.0322580645161
IPL_T20,2009,6,678,852,50,33,7.98230088495575,125.663716814159,27.3333333333333,25.8181818181818,20.5454545454545
IPL_T20,2009,7,678,602,38,30,5.66371681415929,88.7905604719764,21.3333333333333,20.0666666666667,22.6
IPL_T20,2009,8,678,699,53,17,6.65486725663717,103.097345132743,44.2352941176471,41.1176470588235,39.8823529411765
IPL_T20,2009,9,678,728,50,27,6.88495575221239,107.374631268437,28.8148148148148,26.962962962963,25.1111111111111
IPL_T20,2009,10,674,655,30,33,6.09792284866469,97.1810089020772,20.7575757575758,19.8484848484848,20.4242424242424
IPL_T20,2009,11,673,680,49,30,6.49925705794948,101.040118870728,24.3,22.6666666666667,22.4333333333333
IPL_T20,2009,12,672,776,43,26,7.3125,115.47619047619,31.5,29.8461538461538,25.8461538461538
IPL_T20,2009,13,666,760,42,27,7.22522522522523,114.114114114114,29.7037037037037,28.1481481481481,24.6666666666667
IPL_T20,2009,14,661,790,32,30,7.46142208774584,119.515885022693,27.4,26.3333333333333,22.0333333333333
IPL_T20,2009,15,658,825,46,36,7.94224924012158,125.379939209726,24.1944444444444,22.9166666666667,18.2777777777778
IPL_T20,2009,16,635,831,34,44,8.17322834645669,130.866141732283,19.6590909090909,18.8863636363636,14.4318181818182
IPL_T20,2009,17,626,901,54,43,9.15335463258786,143.929712460064,22.2093023255814,20.953488372093,14.5581395348837
IPL_T20,2009,18,614,931,51,47,9.59609120521173,151.628664495114,20.8936170212766,19.8085106382979,13.063829787234
IPL_T20,2009,19,578,817,50,44,9.0,141.349480968858,19.7045454545455,18.5681818181818,13.1363636363636
IPL_T20,2009,20,497,755,65,76,9.89939637826962,151.911468812877,10.7894736842105,9.93421052631579,6.53947368421053
IPL_T20,2010,1,720,702,64,22,6.38333333333333,97.5,34.8181818181818,31.9090909090909,32.7272727272727
IPL_T20,2010,2,720,901,78,25,8.15833333333333,125.138888888889,39.16,36.04,28.8
IPL_T20,2010,3,720,853,98,36,7.925,118.472222222222,26.4166666666667,23.6944444444444,20.0
IPL_T20,2010,4,720,953,63,33,8.46666666666667,132.361111111111,30.7878787878788,28.8787878787879,21.8181818181818
IPL_T20,2010,5,720,957,67,35,8.53333333333333,132.916666666667,29.2571428571429,27.3428571428571,20.5714285714286
IPL_T20,2010,6,720,894,52,26,7.88333333333333,124.166666666667,36.3846153846154,34.3846153846154,27.6923076923077
IPL_T20,2010,7,720,803,70,29,7.275,111.527777777778,30.1034482758621,27.6896551724138,24.8275862068966
IPL_T20,2010,8,720,797,48,22,7.04166666666667,110.694444444444,38.4090909090909,36.2272727272727,32.7272727272727
IPL_T20,2010,9,720,851,48,28,7.49166666666667,118.194444444444,32.1071428571429,30.3928571428571,25.7142857142857
IPL_T20,2010,10,720,857,38,31,7.45833333333333,119.027777777778,28.8709677419355,27.6451612903226,23.2258064516129
IPL_T20,2010,11,718,856,34,43,7.43732590529248,119.220055710306,20.6976744186047,19.906976744186,16.6976744186047
IPL_T20,2010,12,714,846,39,36,7.43697478991597,118.487394957983,24.5833333333333,23.5,19.8333333333333
IPL_T20,2010,13,714,894,69,28,8.09243697478992,125.210084033613,34.3928571428571,31.9285714285714,25.5
IPL_T20,2010,14,710,916,51,37,8.17183098591549,129.014084507042,26.1351351351351,24.7567567567568,19.1891891891892
IPL_T20,2010,15,702,856,42,33,7.67521367521368,121.937321937322,27.2121212121212,25.9393939393939,21.2727272727273
IPL_T20,2010,16,692,923,42,37,8.36705202312139,133.381502890173,26.0810810810811,24.9459459459459,18.7027027027027
IPL_T20,2010,17,676,1001,70,44,9.50591715976331,148.076923076923,24.3409090909091,22.75,15.3636363636364
IPL_T20,2010,18,655,974,59,50,9.46259541984733,148.702290076336,20.66,19.48,13.1
IPL_T20,2010,19,623,1012,31,50,10.0449438202247,162.439807383628,20.86,20.24,12.46
IPL_T20,2010,20,525,889,66,77,10.9142857142857,169.333333333333,12.4025974025974,11.5454545454545,6.81818181818182
IPL_T20,2011,1,870,806,116,24,6.35862068965517,92.6436781609195,38.4166666666667,33.5833333333333,36.25
IPL_T20,2011,2,870,873,105,35,6.7448275862069,100.344827586207,27.9428571428571,24.9428571428571,24.8571428571429
IPL_T20,2011,3,870,1070,62,33,7.80689655172414,122.988505747126,34.3030303030303,32.4242424242424,26.3636363636364
IPL_T20,2011,4,870,972,75,44,7.22068965517241,111.724137931034,23.7954545454545,22.0909090909091,19.7727272727273
IPL_T20,2011,5,870,997,51,35,7.22758620689655,114.597701149425,29.9428571428571,28.4857142857143,24.8571428571429
IPL_T20,2011,6,869,1039,98,39,7.85040276179517,119.562715765247,29.1538461538462,26.6410256410256,22.2820512820513
IPL_T20,2011,7,870,829,46,24,6.03448275862069,95.2873563218391,36.4583333333333,34.5416666666667,36.25
IPL_T20,2011,8,866,1042,62,30,7.64896073903002,120.323325635104,36.8,34.7333333333333,28.8666666666667
IPL_T20,2011,9,864,1034,46,34,7.5,119.675925925926,31.7647058823529,30.4117647058824,25.4117647058824
IPL_T20,2011,10,863,978,38,30,7.06373117033604,113.32560834299,33.8666666666667,32.6,28.7666666666667
IPL_T20,2011,11,853,1003,50,43,7.40679953106682,117.584994138335,24.4883720930233,23.3255813953488,19.8372093023256
IPL_T20,2011,12,852,1045,44,26,7.66901408450704,122.652582159624,41.8846153846154,40.1923076923077,32.7692307692308
IPL_T20,2011,13,848,1027,55,39,7.65566037735849,121.108490566038,27.7435897435897,26.3333333333333,21.7435897435897
IPL_T20,2011,14,818,984,37,33,7.48899755501223,120.293398533007,30.9393939393939,29.8181818181818,24.7878787878788
IPL_T20,2011,15,805,1112,45,48,8.62360248447205,138.136645962733,24.1041666666667,23.1666666666667,16.7708333333333
IPL_T20,2011,16,788,1061,59,48,8.52791878172589,134.644670050761,23.3333333333333,22.1041666666667,16.4166666666667
IPL_T20,2011,17,780,1023,47,46,8.23076923076923,131.153846153846,23.2608695652174,22.2391304347826,16.9565217391304
IPL_T20,2011,18,733,1049,58,56,9.06139154160982,143.110504774898,19.7678571428571,18.7321428571429,13.0892857142857
IPL_T20,2011,19,680,1057,61,67,9.86470588235294,155.441176470588,16.6865671641791,15.7761194029851,10.1492537313433
IPL_T20,2011,20,586,927,71,79,10.2184300341297,158.191126279864,12.6329113924051,11.7341772151899,7.41772151898734
IPL_T20,2012,1,888,743,66,26,5.46621621621622,83.6711711711712,31.1153846153846,28.5769230769231,34.1538461538462
IPL_T20,2012,2,888,891,61,40,6.43243243243243,100.337837837838,23.8,22.275,22.2
IPL_T20,2012,3,888,978,67,33,7.06081081081081,110.135135135135,31.6666666666667,29.6363636363636,26.9090909090909
IPL_T20,2012,4,888,1137,58,31,8.07432432432432,128.040540540541,38.5483870967742,36.6774193548387,28.6451612903226
IPL_T20,2012,5,888,1079,65,25,7.72972972972973,121.509009009009,45.76,43.16,35.52
IPL_T20,2012,6,888,1217,50,41,8.56081081081081,137.04954954955,30.9024390243902,29.6829268292683,21.6585365853659
IPL_T20,2012,7,888,898,60,27,6.47297297297297,101.126126126126,35.4814814814815,33.2592592592593,32.8888888888889
IPL_T20,2012,8,888,1020,48,28,7.21621621621622,114.864864864865,38.1428571428571,36.4285714285714,31.7142857142857
IPL_T20,2012,9,888,967,53,40,6.89189189189189,108.896396396396,25.5,24.175,22.2
IPL_T20,2012,10,888,984,49,26,6.97972972972973,110.810810810811,39.7307692307692,37.8461538461538,34.1538461538462
IPL_T20,2012,11,888,1096,45,35,7.70945945945946,123.423423423423,32.6,31.3142857142857,25.3714285714286
IPL_T20,2012,12,883,1091,54,48,7.78029445073613,123.556058890147,23.8541666666667,22.7291666666667,18.3958333333333
IPL_T20,2012,13,876,1042,60,37,7.54794520547945,118.949771689498,29.7837837837838,28.1621621621622,23.6756756756757
IPL_T20,2012,14,872,1088,49,38,7.82339449541284,124.770642201835,29.9210526315789,28.6315789473684,22.9473684210526
IPL_T20,2012,15,869,1126,57,44,8.16800920598389,129.574223245109,26.8863636363636,25.5909090909091,19.75
IPL_T20,2012,16,856,1177,42,46,8.54439252336449,137.5,26.5,25.5869565217391,18.6086956521739
IPL_T20,2012,17,832,1186,66,60,9.02884615384615,142.548076923077,20.8666666666667,19.7666666666667,13.8666666666667
IPL_T20,2012,18,803,1244,62,72,9.75840597758406,154.919053549191,18.1388888888889,17.2777777777778,11.1527777777778
IPL_T20,2012,19,765,1230,70,71,10.1960784313725,160.78431372549,18.3098591549296,17.3239436619718,10.7746478873239
IPL_T20,2012,20,684,1129,48,90,10.3245614035088,165.058479532164,13.0777777777778,12.5444444444444,7.6
IPL_T20,2013,1,912,702,83,32,5.16447368421053,76.9736842105263,24.53125,21.9375,28.5
IPL_T20,2013,2,912,933,64,37,6.55921052631579,102.302631578947,26.9459459459459,25.2162162162162,24.6486486486486
IPL_T20,2013,3,912,1019,76,44,7.20394736842105,111.732456140351,24.8863636363636,23.1590909090909,20.7272727272727
IPL_T20,2013,4,912,1008,60,32,7.02631578947368,110.526315789474,33.375,31.5,28.5
IPL_T20,2013,5,912,1134,50,40,7.78947368421053,124.342105263158,29.6,28.35,22.8
IPL_T20,2013,6,912,1135,58,30,7.84868421052632,124.451754385965,39.7666666666667,37.8333333333333,30.4
IPL_T20,2013,7,912,919,60,33,6.44078947368421,100.767543859649,29.6666666666667,27.8484848484848,27.6363636363636
IPL_T20,2013,8,912,996,35,55,6.78289473684211,109.210526315789,18.7454545454545,18.1090909090909,16.5818181818182
IPL_T20,2013,9,900,1019,41,29,7.06666666666667,113.222222222222,36.551724137931,35.1379310344828,31.0344827586207
IPL_T20,2013,10,900,950,66,34,6.77333333333333,105.555555555556,29.8823529411765,27.9411764705882,26.4705882352941
IPL_T20,2013,11,900,1075,48,37,7.48666666666667,119.444444444444,30.3513513513513,29.0540540540541,24.3243243243243
IPL_T20,2013,12,900,1027,41,35,7.12,114.111111111111,30.5142857142857,29.3428571428571,25.7142857142857
IPL_T20,2013,13,896,1085,46,42,7.57366071428571,121.09375,26.9285714285714,25.8333333333333,21.3333333333333
IPL_T20,2013,14,893,1132,49,41,7.93505039193729,126.763717805151,28.8048780487805,27.609756097561,21.780487804878
IPL_T20,2013,15,888,1128,56,34,8.0,127.027027027027,34.8235294117647,33.1764705882353,26.1176470588235
IPL_T20,2013,16,884,1188,55,57,8.43665158371041,134.389140271493,21.8070175438597,20.8421052631579,15.5087719298246
IPL_T20,2013,17,882,1312,61,59,9.34013605442177,148.75283446712,23.271186440678,22.2372881355932,14.9491525423729
IPL_T20,2013,18,845,1281,59,78,9.51479289940828,151.597633136095,17.1794871794872,16.4230769230769,10.8333333333333
IPL_T20,2013,19,770,1210,43,68,9.76363636363636,157.142857142857,18.4264705882353,17.7941176470588,11.3235294117647
IPL_T20,2013,20,659,1174,63,93,11.2625189681335,178.14871016692,13.3010752688172,12.6236559139785,7.08602150537634
IPL_T20,2014,1,720,701,73,18,6.45,97.3611111111111,43.0,38.9444444444444,40.0
IPL_T20,2014,2,720,699,63,26,6.35,97.0833333333333,29.3076923076923,26.8846153846154,27.6923076923077
IPL_T20,2014,3,720,858,63,37,7.675,119.166666666667,24.8918918918919,23.1891891891892,19.4594594594595
IPL_T20,2014,4,720,959,43,23,8.35,133.194444444444,43.5652173913044,41.695652173913,31.304347826087
IPL_T20,2014,5,716,895,69,29,8.07821229050279,125.0,33.2413793103448,30.8620689655172,24.6896551724138
IPL_T20,2014,6,714,939,63,30,8.42016806722689,131.512605042017,33.4,31.3,23.8
IPL_T20,2014,7,714,784,48,32,6.99159663865546,109.803921568627,26.0,24.5,22.3125
IPL_T20,2014,8,714,759,62,22,6.89915966386555,106.302521008403,37.3181818181818,34.5,32.4545454545455
IPL_T20,2014,9,714,796,34,27,6.97478991596639,111.484593837535,30.7407407407407,29.4814814814815,26.4444444444444
IPL_T20,2014,10,714,818,43,28,7.23529411764706,114.565826330532,30.75,29.2142857142857,25.5
IPL_T20,2014,11,714,967,32,22,8.39495798319328,135.434173669468,45.4090909090909,43.9545454545455,32.4545454545455
IPL_T20,2014,12,714,969,21,29,8.31932773109244,135.714285714286,34.1379310344828,33.4137931034483,24.6206896551724
IPL_T20,2014,13,714,970,29,30,8.39495798319328,135.854341736695,33.3,32.3333333333333,23.8
IPL_T20,2014,14,707,888,34,31,7.82461103253182,125.601131541726,29.741935483871,28.6451612903226,22.8064516129032
IPL_T20,2014,15,696,977,31,38,8.68965517241379,140.373563218391,26.5263157894737,25.7105263157895,18.3157894736842
IPL_T20,2014,16,682,1008,48,40,9.29032258064516,147.800586510264,26.4,25.2,17.05
IPL_T20,2014,17,676,986,64,40,9.31952662721893,145.85798816568,26.25,24.65,16.9
IPL_T20,2014,18,655,1076,34,45,10.1679389312977,164.274809160305,24.6666666666667,23.9111111111111,14.5555555555556
IPL_T20,2014,19,606,975,70,64,10.3465346534653,160.891089108911,16.328125,15.234375,9.46875
IPL_T20,2014,20,503,898,63,61,11.4632206759443,178.528827037773,15.7540983606557,14.7213114754098,8.24590163934426
IPL_T20,2015,1,702,607,84,23,5.90598290598291,86.4672364672365,30.0434782608696,26.3913043478261,30.5217391304348
IPL_T20,2015,2,697,798,76,14,7.52367288378766,114.490674318508,62.4285714285714,57.0,49.7857142857143
IPL_T20,2015,3,696,965,53,26,8.77586206896552,138.649425287356,39.1538461538462,37.1153846153846,26.7692307692308
IPL_T20,2015,4,696,952,49,24,8.62931034482759,136.781609195402,41.7083333333333,39.6666666666667,29.0
IPL_T20,2015,5,696,893,30,46,7.95689655172414,128.304597701149,20.0652173913043,19.4130434782609,15.1304347826087
IPL_T20,2015,6,695,852,48,38,7.76978417266187,122.589928057554,23.6842105263158,22.4210526315789,18.2894736842105
IPL_T20,2015,7,690,752,62,22,7.07826086956522,108.985507246377,37.0,34.1818181818182,31.3636363636364
IPL_T20,2015,8,690,765,35,24,6.95652173913043,110.869565217391,33.3333333333333,31.875,28.75
IPL_T20,2015,9,690,834,46,34,7.65217391304348,120.869565217391,25.8823529411765,24.5294117647059,20.2941176470588
IPL_T20,2015,10,688,853,39,28,7.77906976744186,123.982558139535,31.8571428571429,30.4642857142857,24.5714285714286
IPL_T20,2015,11,663,804,27,29,7.52036199095023,121.266968325792,28.6551724137931,27.7241379310345,22.8620689655172
IPL_T20,2015,12,654,875,28,27,8.28440366972477,133.792048929664,33.4444444444444,32.4074074074074,24.2222222222222
IPL_T20,2015,13,648,841,29,23,8.05555555555556,129.783950617284,37.8260869565217,36.5652173913044,28.1739130434783
IPL_T20,2015,14,644,891,45,35,8.72049689440994,138.354037267081,26.7428571428571,25.4571428571429,18.4
IPL_T20,2015,15,630,874,34,40,8.64761904761905,138.730158730159,22.7,21.85,15.75
IPL_T20,2015,16,630,997,38,30,9.85714285714286,158.253968253968,34.5,33.2333333333333,21.0
IPL_T20,2015,17,620,1052,56,45,10.7225806451613,169.677419354839,24.6222222222222,23.3777777777778,13.7777777777778
IPL_T20,2015,18,601,957,54,51,10.0931780366057,159.234608985025,19.8235294117647,18.7647058823529,11.7843137254902
IPL_T20,2015,19,578,977,43,61,10.5882352941176,169.031141868512,16.7213114754098,16.016393442623,9.47540983606557
IPL_T20,2015,20,533,870,47,67,10.3227016885553,163.227016885553,13.6865671641791,12.9850746268657,7.95522388059702
IPL_T20,2016,1,720,643,62,22,5.875,89.3055555555556,32.0454545454545,29.2272727272727,32.7272727272727
IPL_T20,2016,2,720,784,55,33,6.99166666666667,108.888888888889,25.4242424242424,23.7575757575758,21.8181818181818
IPL_T20,2016,3,720,915,38,23,7.94166666666667,127.083333333333,41.4347826086957,39.7826086956522,31.304347826087
IPL_T20,2016,4,720,1033,48,38,9.00833333333333,143.472222222222,28.4473684210526,27.1842105263158,18.9473684210526
IPL_T20,2016,5,720,954,40,24,8.28333333333333,132.5,41.4166666666667,39.75,30.0
IPL_T20,2016,6,714,915,51,20,8.11764705882353,128.151260504202,48.3,45.75,35.7
IPL_T20,2016,7,714,765,55,17,6.89075630252101,107.142857142857,48.2352941176471,45.0,42.0
IPL_T20,2016,8,714,845,33,24,7.3781512605042,118.347338935574,36.5833333333333,35.2083333333333,29.75
IPL_T20,2016,9,714,890,44,27,7.84873949579832,124.649859943978,34.5925925925926,32.962962962963,26.4444444444444
